content_tokens,original_tokens,noise_tokens,original_mass,noise_mass,special_mass,original_mean_weight,noise_mean_weight,top_k_original_fraction,top_tokens,index,label,pred,clean_span_found,text,clean_text
12,7,5,0.9895372998862513,0.009946705591573846,0.0005160311702638865,0.1413624714123216,0.001989341118314769,0.6,?:0.9761:original Ġcard:0.0129:original .:0.0095:noise Ġmy:0.0005:original Ġthank:0.0002:noise,10,11,11,True,How do I track my card? thank you in advance.,How do I track my card?
13,8,5,0.9994172880108181,0.0005423099569270562,4.0328061004402116e-05,0.12492716100135226,0.00010846199138541124,0.8,?:0.7609:original Ġtake:0.2274:original Ġdelivery:0.0106:original Ġcard:0.0004:original .:0.0003:noise,11,11,12,True,How long does a card delivery take? thank you in advance.,How long does a card delivery take?
23,17,6,0.9944231444509342,0.005549079858155892,2.7732787202694453e-05,0.05849547908534907,0.000924846643025982,0.8,.:0.9038:original Ġafter:0.0471:original ?:0.0376:original Ġweeks:0.0038:original Ġ(:0.0037:noise,12,11,11,True,I still don't have my card after 2 weeks. What should I do? (at your earliest convenience).,I still don't have my card after 2 weeks.  What should I do?
9,6,3,0.9973793061435572,0.00046670070150867105,0.002153967274352908,0.16622988435725952,0.00015556690050289035,1.0,Ġcard:0.9915:original Ġnew:0.0041:original Ġwaiting:0.0009:original Ġmy:0.0004:original Ġon:0.0004:original,13,11,0,True,"Good afternoon, still waiting on my new card",still waiting on my new card
21,16,5,0.9999062849536529,1.6073244808012532e-05,7.772743992973119e-05,0.062494142809603304,3.2146489616025065e-06,1.0,.:0.8850:original Ġafter:0.0628:original ?:0.0334:original Ġweek:0.0135:original Ġcard:0.0039:original,14,11,11,True,"Could you please advise, I am still waiting for my card after 1 week. Is this ok?",I am still waiting for my card after 1 week.  Is this ok?
29,22,7,0.9999961347337418,5.719266411574608e-07,3.4431129734002752e-06,0.04545436976062463,8.170380587963727e-08,1.0,"Ġarrive:0.4636:original ?:0.2888:original ,:0.2187:original Ġit:0.0237:original Ġcard:0.0028:original",15,11,11,True,"I’m hoping you can clarify, I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?","I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?"
14,11,3,0.9997802207967652,3.9134885810199194e-05,0.00018061950686387718,0.09088911098152411,1.3044961936733065e-05,1.0,.:0.9831:original Ġcard:0.0164:original Ġexpected:0.0001:original Ġlonger:0.0001:original Ġfor:0.0001:original,16,11,11,True,"Good afternoon, I've been waiting longer than expected for my card.",I've been waiting longer than expected for my card.
15,8,7,0.9917759770524697,0.008218167681135924,5.853435141034424e-06,0.12397199713155871,0.0011740239544479891,0.8,?:0.8389:original Ġdelivered:0.1476:original ?:0.0081:noise Ġbeen:0.0049:original Ġcard:0.0004:original,17,11,11,True,Why hasn't my card been delivered? could you confirm what is happening?,Why hasn't my card been delivered?
19,13,6,0.9999489144224754,7.275787822891289e-06,4.3884512706426904e-05,0.07691914726326733,1.2126313038152148e-06,1.0,!:0.6022:original ?:0.3745:original Ġcard:0.0159:original Ġweek:0.0054:original ĠI:0.0013:original,18,11,11,True,"I would like to ask, Where is my new card? I have been waiting a week!",Where is my new card? I have been waiting a week!
18,15,3,0.9999948574393329,9.055852387973573e-07,4.1795556171564385e-06,0.06666632382928886,3.0186174626578577e-07,1.0,.:0.5401:original Ġarrived:0.2311:original ?:0.1744:original Ġweeks:0.0182:original Ġlost:0.0163:original,19,11,11,True,"Good afternoon, My card still hasn't arrived after 2 weeks. Is it lost?",My card still hasn't arrived after 2 weeks. Is it lost?
19,12,7,0.9999313392910949,9.777763665397288e-06,5.8864079619525e-05,0.08332761160759124,1.3968233807710412e-06,1.0,"?:0.3643:original Ġyet:0.3488:original ,:0.2538:original Ġlost:0.0296:original Ġcard:0.0022:original",20,11,11,True,"I’m hoping you can clarify, I did not get my card yet, is it lost?","I did not get my card yet, is it lost?"
10,7,3,0.999460630352587,9.606529965822119e-05,0.000443370925495401,0.14278009005036957,3.2021766552740395e-05,1.0,.:0.8382:original Ġordered:0.1381:original Ġcard:0.0228:original ĠI:0.0002:original Ġof:0.0001:original,21,11,11,True,"Good afternoon, Status of the card I ordered.",Status of the card I ordered.
13,10,3,0.9999874013085019,2.2660845502286975e-06,1.0458681572345085e-05,0.0999987401308502,7.553615167428992e-07,1.0,?:0.7167:original Ġarrive:0.2644:original Ġtake:0.0141:original Ġto:0.0028:original Ġcard:0.0019:original,22,11,12,True,"Good afternoon, How long should my new card take to arrive?",How long should my new card take to arrive?
25,20,5,0.9998929543942268,1.8332355011807522e-05,8.865207928465679e-05,0.049994647719711335,3.6664710023615044e-06,1.0,?:0.6728:original Ġhere:0.1930:original 't:0.0429:original Ġstill:0.0270:original Ġisn:0.0169:original,23,11,11,True,"Could you please advise, I ordered my card 2 weeks ago and it still isn't here? What do I do?",I ordered my card 2 weeks ago and it still isn't here? What do I do?
17,11,6,0.9862832652990647,0.013713369899619465,3.3105770853580907e-06,0.0896621150271877,0.0022855616499365774,1.0,"Ġyet:0.3639:original ,:0.2356:original ?:0.2024:original Ġarrived:0.1364:original Ġit:0.0450:original",24,11,11,True,"My card has not arrived yet, where is it? what are the next steps?","My card has not arrived yet, where is it?"
18,12,6,0.8095140309475255,0.19045394466957077,3.195483805029653e-05,0.06745950257896045,0.03174232411159513,0.6,?:0.7205:original ?:0.1767:noise Ġmailed:0.0587:original Ġcard:0.0142:original Ġwhat:0.0077:noise,25,11,11,True,What is the tracking number for my card that was mailed? what is the expected timeline?,What is the tracking number for my card that was mailed?
26,17,9,0.8965705260682171,0.10342668425437296,2.7379892344470136e-06,0.05273944270989512,0.01149185380604144,0.6,.:0.5307:original Ġyet:0.2467:original Ġit:0.0754:original ?:0.0636:noise Ġthis:0.0351:noise,26,11,11,True,I think something went wrong with my card delivery as I haven't received it yet. is there a formal way to resolve this?,I think something went wrong with my card delivery as I haven't received it yet.
21,18,3,0.9981453146155417,0.001834851200783305,1.986698407563381e-05,0.0554525174786412,0.0006116170669277684,1.0,",:0.3684:original ?:0.3510:original Ġlong:0.2605:original Ġcard:0.0113:original Ġit:0.0035:original",27,11,11,True,"I'm still waiting for delivery of my new card, why is it taking so long? please advise.","I'm still waiting for delivery of my new card, why is it taking so long?"
25,20,5,0.9553294393377882,0.04463244385260623,3.8176487578311935e-05,0.047766471966889414,0.008926488770521246,0.8,.:0.6270:original Ġhere:0.1956:original ?:0.0500:original .:0.0427:noise Ġnot:0.0299:original,28,11,11,True,"I ordered a card a week ago, and it's still not here. What do I do? because this appears inconsistent.","I ordered a card a week ago, and it's still not here. What do I do?"
12,8,4,0.030171888352583665,0.9697326945579334,9.536577999824658e-05,0.003771486044072958,0.24243317363948336,0.6,.:0.8168:noise .:0.1526:noise Ġsent:0.0289:original Ġcard:0.0008:original Ġyou:0.0005:original,29,11,11,True,i want to track the card you sent. please advise.,i want to track the card you sent
7,7,0,0.9999963812194892,0,3.6494027426670073e-06,0.14285662588849846,,1.0,Ġyet:0.4525:original .:0.3941:original Ġarrived:0.1531:original 't:0.0002:original Ġcard:0.0001:original,30,11,11,True,My card hasn't arrived yet.,My card hasn't arrived yet.
23,0,0,0,0,9.677978596300818e-06,,,0.0,Ġyet:0.5243:content ?:0.3237:content Ġit:0.1333:content Ġhaven:0.0092:content Ġcard:0.0040:content,31,11,11,False,I was expecting my new card — to clarify and am wondering and am wondering why I haven't received it yet?,I was expecting my new card and am wondering why I haven't received it yet?
16,10,6,0.9999614791814508,5.489319605089804e-06,3.310928514110856e-05,0.09999614791814508,9.148866008483006e-07,1.0,Ġarrive:0.5176:original ?:0.4814:original Ġwill:0.0005:original Ġcard:0.0005:original ĠHow:0.0000:original,32,11,12,True,"I would like to ask, How do I know when my card will arrive?",How do I know when my card will arrive?
19,13,6,0.9999336420209488,9.426394797173998e-06,5.68560826650355e-05,0.07691797246314991,1.5710657995289996e-06,1.0,.:0.7737:original Ġdelivered:0.1336:original Ġto:0.0590:original Ġbe:0.0232:original Ġcard:0.0104:original,33,11,11,True,"I would like to ask, I'm sTill waiting on my card to be delivered.",I'm still waiting on my card to be delivered.
16,13,3,0.9994804165188498,0.0005021767217385786,1.7485495845903642e-05,0.07688310896298844,0.0001673922405795262,1.0,?:0.7689:original Ġit:0.2118:original Ġto:0.0093:original Ġtrack:0.0074:original Ġsent:0.0014:original,34,11,11,True,Does the card you sent have a way to track to it? kind regards.,Does the card you sent have a way to track to it?
26,23,3,0.9999474458082886,2.1493667532013205e-05,3.102763366769068e-05,0.043475975904708204,7.1645558440044015e-06,1.0,.:0.4957:original Ġit:0.2583:original .:0.1574:original Ġreceived:0.0358:original ?:0.0201:original,35,11,11,True,I ordered a card and I still haven't received it. It's been two weeks. What can I do? kind regards.,I ordered a card and I still haven't received it. It's been two weeks. What can I do?
28,20,8,0.9210005752135437,0.07899386711687839,5.470377345773159e-06,0.04605002876067719,0.009874233389609799,0.6,",:0.5468:original ?:0.2082:original Ġarrived:0.1415:original ).:0.0516:noise Ġ(:0.0225:noise",36,11,11,True,"I'm starting to think my card is lost because it still hasn't arrived, can you help? (I have attempted this multiple times).","I'm starting to think my card is lost because it still hasn't arrived, can you help?"
13,6,7,0.9996618489494722,4.816387399841915e-05,0.0002899561368394643,0.16661030815824537,6.880553428345593e-06,0.8,?:0.8893:original Ġinfo:0.0608:original Ġavailable:0.0364:original Ġtracking:0.0131:original Ġhoping:0.0000:noise,37,11,11,True,"I’m hoping you can clarify, Is there tracking info available?",Is there tracking info available?
20,11,9,0.9821277832490978,0.01780574509393773,6.640941865043715e-05,0.08928434393173616,0.001978416121548637,0.8,?:0.9067:original Ġsent:0.0394:original Ġcard:0.0190:original Ġnumber:0.0123:original ?:0.0117:noise,38,11,11,True,What is the tracking number for the card you sent? is there a formal way to resolve this?,What is the tracking number for the card you sent?
18,12,6,0.8642358420543133,0.1357284182086005,3.570393528207205e-05,0.0720196535045261,0.022621403034766747,0.8,?:0.6934:original ?:0.1297:noise Ġme:0.0731:original Ġsent:0.0718:original Ġcard:0.0107:original,39,11,11,True,Where is the tracking number for the card you sent me? what is the expected timeline?,Where is the tracking number for the card you sent me?
14,11,3,0.9999957989158901,6.93567642429116e-07,3.581046257750131e-06,0.09090870899235365,2.3118921414303864e-07,1.0,?:0.9740:original Ġup:0.0216:original Ġapp:0.0031:original Ġon:0.0008:original Ġthe:0.0003:original,40,13,13,True,"Hello there, Why won't my card show up on the app?",Why won't my card show up on the app?
12,9,3,0.998943220606634,0.00018819650358636864,0.0008685846696607769,0.11099369117851489,6.273216786212288e-05,1.0,.:0.8393:original Ġcard:0.1558:original ivate:0.0022:original Ġmy:0.0015:original Ġreact:0.0002:original,41,13,13,True,"Good afternoon, I would like to reactivate my card.",I would like to reactivate my card.
13,8,5,0.9999028675429713,1.6652089129820524e-05,8.0526624515187e-05,0.12498785844287141,3.330417825964105e-06,1.0,?:0.9677:original Ġcard:0.0320:original Ġnew:0.0001:original Ġthe:0.0000:original Ġlink:0.0000:original,42,13,13,True,"Could you please advise, Where do I link the new card?",Where do I link the new card?
22,16,6,0.5612531897386361,0.4377313707227586,0.0010154342744499445,0.03507832435866476,0.0729552284537931,0.6,"?:0.5523:original ?:0.4140:noise Ġtimeline:0.0228:noise ,:0.0036:original Ġapp:0.0024:original",43,13,13,True,"I have received my card, can you help me put it in the app? what is the expected timeline?","I have received my card, can you help me put it in the app?"
16,11,5,0.9999212004208289,1.349146026541348e-05,6.524236960103735e-05,0.09090192731098444,2.6982920530826958e-06,1.0,?:0.9462:original Ġcard:0.0320:original Ġhave:0.0137:original Ġthat:0.0074:original Ġa:0.0003:original,44,13,13,True,"Could you please advise, How do I link a card that I already have?",How do I link a card that I already have?
30,22,8,0.9985103522817269,0.0014784851327931392,1.1072411325585563e-05,0.04538683419462395,0.0001848106415991424,1.0,.:0.9228:original ?:0.0528:original Ġit:0.0122:original Ġanywhere:0.0066:original Ġapp:0.0017:original,45,13,13,True,"I received my new card, but I don't see it in the app anywhere. What do I do? (I have attempted this multiple times).","I received my new card, but I don't see it in the app anywhere.  What do I do?"
14,11,3,0.9999547433258833,4.2389290925370915e-05,2.9489183361874893e-06,0.09090497666598939,1.4129763641790305e-05,1.0,?:0.9764:original Ġto:0.0139:original Ġcard:0.0066:original Ġapp:0.0023:original Ġthe:0.0008:original,46,13,13,True,How do I re-add a card to the app? kind regards.,How do I re-add a card to the app?
13,10,3,0.9928208591148291,0.007162408686326671,1.6767033230280504e-05,0.09928208591148291,0.0023874695621088904,0.8,?:0.9563:original Ġaccount:0.0206:original Ġto:0.0133:original .:0.0071:noise Ġcard:0.0024:original,47,13,13,True,How do I add the card to my account? many thanks.,How do I add the card to my account?
19,16,3,0.999979269428735,3.7049311458758893e-06,1.7099404431064613e-05,0.06249870433929594,1.2349770486252964e-06,1.0,?:0.4888:original Ġsystem:0.1752:original Ġback:0.1389:original Ġit:0.1216:original /:0.0447:original,48,13,13,True,"Good afternoon, Can I put my old card back into the system? I just found it/",Can I put my old card back into the system? I just found it/
23,14,9,0.9497543530811328,0.05024003292874113,5.602061719400808e-06,0.06783959664865234,0.005582225880971237,0.6,"?:0.8423:original Ġit:0.0984:original ?:0.0441:noise Ġthis:0.0053:noise ,:0.0049:original",49,13,13,True,"I have one of your cards already, how do I link it? is there a formal way to resolve this?","I have one of your cards already, how do I link it?"
13,8,5,0.9999121033873735,1.5051236118779343e-05,7.278517296072096e-05,0.12498901292342168,3.0102472237558688e-06,1.0,?:0.9569:original Ġcard:0.0420:original Ġnew:0.0006:original Ġa:0.0003:original Ġlink:0.0001:original,50,13,13,True,"Could you please advise, How do I link a new card?",How do I link a new card?
10,7,3,0.9842853736911081,0.015699136428338534,1.5455152606591582e-05,0.14061219624158688,0.005233045476112845,0.8,?:0.9717:original .:0.0157:noise Ġcard:0.0123:original Ġan:0.0002:original Ġexisting:0.0001:original,51,13,13,True,Can I link an existing card? kind regards.,Can I link an existing card?
20,13,7,0.8462610408328146,0.15354211841986398,0.00019687169697135687,0.06509700314098574,0.021934588345694856,0.8,?:0.7212:original .:0.1193:noise Ġcard:0.0590:original Ġif:0.0387:original Ġalready:0.0246:original,52,13,13,True,How do I link one your card if I have one already? I’m receiving an error message.,How do I link one your card if I have one already?
15,0,0,0,0,2.139192474714946e-06,,,0.0,?:0.9404:content Ġto:0.0471:content Ġto:0.0080:content Ġcard:0.0023:content Ġcard:0.0009:content,53,13,13,False,How do I add a (rather) card to card to the app?,How do I add a card to the app?
10,7,3,0.9997374605472942,4.2612369270500494e-05,0.00022001717297825962,0.14281963722104202,1.4204123090166831e-05,1.0,?:0.9693:original Ġcard:0.0298:original Ġlink:0.0003:original Ġnew:0.0003:original Ġmy:0.0001:original,54,13,13,True,"Hello there, Can I link my new card?",Can I link my new card?
27,21,6,0.9833016891717534,0.016679767812092905,1.8529335648054257e-05,0.04682388996055969,0.0027799613020154843,1.0,"Ġit:0.3979:original ?:0.2275:original ,:0.1468:original Ġthat:0.1316:original Ġand:0.0478:original",55,13,13,True,"Hello, I found the card I misplaced and I need to reactive it, how do I do that? (this is time-sensitive).","Hello, I found the card I misplaced and I need to reactive it, how do I do that?"
22,16,6,0.9024259224624984,0.09751852084718848,5.5464639444835484e-05,0.05640162015390615,0.016253086807864747,0.6,?:0.8542:original ).:0.0739:noise Ġ(:0.0228:noise Ġcards:0.0211:original Ġthat:0.0138:original,56,13,13,True,Can you tell me how to link one of your cards that I already have? (as soon as possible).,Can you tell me how to link one of your cards that I already have?
15,12,3,0.9999779356953127,3.6051719689567108e-06,1.8614317013998516e-05,0.08333149464127605,1.201723989652237e-06,1.0,?:0.9916:original Ġreceived:0.0038:original Ġapp:0.0030:original Ġthe:0.0008:original Ġin:0.0005:original,57,13,13,True,"Hello there, How do I view the card I received in the app?",How do I view the card I received in the app?
15,12,3,0.9978510632126927,0.0017626962271606317,0.0003862711018882692,0.0831542552677244,0.0005875654090535439,0.6,?:0.8695:original Ġcard:0.1276:original .:0.0013:noise Ġkind:0.0004:noise Ġmy:0.0002:original,58,13,13,True,Where on the website do I go to link my card? kind regards.,Where on the website do I go to link my card?
18,13,5,0.9982890527122663,0.0016873487061275227,2.3681544917053543e-05,0.07679146559325126,0.00033746974122550455,0.8,"?:0.9806:original Ġit:0.0117:original Ġapp:0.0035:original .:0.0015:noise ,:0.0015:original",59,13,13,True,"I found my card, can I add it to the app? thank you in advance.","I found my card, can I add it to the app?"
18,0,0,0,0,1.6894218788365833e-05,,,0.0,?:0.9535:content Ġwith:0.0237:content Ġcard:0.0162:content it:0.0039:content Ġyou:0.0024:content,60,13,13,False,"Hel1o there, How do I link to my crediit card with you?",How do I link to my credit card with you?
28,19,9,0.41093877881439766,0.5888970457608593,0.0001642162969801575,0.02162835677970514,0.06543300508453992,0.6,.:0.5777:noise .:0.3826:original Ġit:0.0202:original Ġusual:0.0061:noise Ġapp:0.0031:original,61,13,13,True,I've received my card so now I need to know how to sync it to the app. I’m using a different device than usual.,I've received my card so now I need to know how to sync it to the app.
19,0,0,0,0,0.00012817895913030952,,,0.0,"Ġit:0.5555:content .:0.4012:content ivate:0.0213:content Ġ(:0.0111:content ,:0.0083:content",62,13,13,False,"I found my card, (rather) I would like I would like to reactivate it.","I found my card, I would like to reactivate it."
11,8,3,0.9869294795119004,0.013016683762543835,5.381397932069376e-05,0.12336618493898754,0.004338894587514612,0.6,?:0.9248:original Ġcard:0.0619:original .:0.0129:noise Ġlink:0.0002:original Ġmany:0.0001:noise,63,13,13,True,How do I link this new card? many thanks.,How do I link this new card?
25,17,8,0.7586817771216374,0.24129074487427715,2.7540256269276142e-05,0.04462833983068455,0.030161343109284644,0.6,?:0.5139:original Ġ(:0.1332:noise ).:0.1028:noise Ġcard:0.0699:original Ġin:0.0536:original,64,13,13,True,Can I reactivate my lost card that I found this morning in my jacket pocket? (I have updated the app recently).,Can I reactivate my lost card that I found this morning in my jacket pocket?
12,9,3,0.99999065591091,1.6892655594347161e-06,7.796484169375617e-06,0.11111007287899,5.63088519811572e-07,1.0,?:0.9898:original Ġcard:0.0099:original Ġalready:0.0001:original Ġan:0.0001:original Ġexisting:0.0000:original,65,13,13,True,"Good afternoon, how do I link an already existing card?",how do I link an already existing card?
15,10,5,0.9999899172362348,1.7287424256551276e-06,8.359898856724612e-06,0.09999899172362348,3.457484851310255e-07,1.0,.:0.9890:original Ġreceived:0.0105:original Ġcard:0.0004:original ĠI:0.0001:original Ġthe:0.0000:original,66,13,11,True,"Could you please advise, The app doesn't show the card I received.",The app doesn't show the card I received.
16,10,6,0.9999570303713199,6.107303264002439e-06,3.683670365717262e-05,0.09999570303713198,1.01788387733374e-06,1.0,?:0.9550:original Ġhave:0.0288:original Ġcard:0.0155:original ĠI:0.0003:original Ġalready:0.0003:original,67,13,13,True,"I would like to ask, how do I link a card I already have?",how do I link a card I already have?
17,14,3,0.9999368831162201,1.023827485369111e-05,5.286252053338103e-05,0.07142406307973001,3.412758284563703e-06,1.0,.:0.6558:original ?:0.2806:original Ġit:0.0544:original Ġcard:0.0090:original Ġlink:0.0000:original,68,13,13,True,"Hello there, I would like to link my card. How do I do it?",I would like to link my card. How do I do it?
23,16,7,0.9985110365561809,0.0014358410035129054,5.310040796757676e-05,0.062406939784761306,0.00020512014335898648,0.6,?:0.9562:original Ġcard:0.0419:original ?:0.0011:noise Ġcould:0.0003:noise Ġmy:0.0002:original,69,13,13,True,Can you please show me where I can find the location to link my card? could you confirm what is happening?,Can you please show me where I can find the location to link my card?
18,13,5,0.9997889326296558,5.748297007812653e-05,0.0001535995543235913,0.07690684097151199,1.1496594015625306e-05,1.0,?:0.9664:original Ġcard:0.0328:original Ġlink:0.0002:original Ġnew:0.0002:original Ġmy:0.0001:original,70,13,13,True,this is time-sensitive — Where do I go if I want to link my new card?,Where do I go if I want to link my new card?
20,14,6,0.8678081508240894,0.13215934370441573,3.258903598180041e-05,0.06198629648743496,0.022026557284069288,0.6,?:0.7745:original Ġ(:0.1050:noise Ġusable:0.0763:original ).:0.0269:noise Ġcard:0.0079:original,71,13,13,True,Is there a way to make my old card usable with the app? (this is time-sensitive).,Is there a way to make my old card usable with the app?
20,11,9,0.9079735090202803,0.09197585255060403,5.06106334796641e-05,0.08254304627457093,0.010219539172289337,0.6,?:0.8502:original ?:0.0702:noise Ġlost:0.0469:original Ġthis:0.0155:noise Ġcard:0.0091:original,72,13,13,True,Can I reactivate a card I thought I lost? is there a formal way to resolve this?,Can I reactivate a card I thought I lost?
10,6,4,0.031514905112942415,0.9684168043540922,6.830170605098829e-05,0.0052524841854904025,0.24210420108852304,0.6,.:0.9632:noise Ġcard:0.0312:original .:0.0051:noise Ġlink:0.0002:original Ġmy:0.0001:original,73,13,13,True,How do I link my card. many thanks.,How do I link my card
21,15,6,0.9991380263754763,0.00012257684966243687,0.0007393319974653423,0.06660920175836509,2.042947494373948e-05,1.0,?:0.5686:original Ġinfo:0.3411:original Ġcard:0.0885:original ĠWhere:0.0002:original Ġapp:0.0002:original,74,13,13,True,"I would like to ask, Where do I need to go in the app to enter my card info?",Where do I need to go in the app to enter my card info?
36,26,10,0.8761076353194426,0.12386793236964877,2.4430839403066784e-05,0.03369644751228625,0.012386793236964877,0.6,?:0.6272:original Ġagain:0.1010:original ).:0.0731:noise .:0.0455:original Ġ(:0.0307:noise,75,13,13,True,I have found my lost or stolen card. Is there a way I can link the card with my account through my app again? (I’m currently unable to access the feature).,I have found my lost or stolen card. Is there a way I can link the card with my account through my app again?
35,24,11,0.8450665093370731,0.15490039441510817,3.304918936919421e-05,0.03521110455571138,0.014081854037737106,0.8,",:0.2915:original Ġlost:0.2797:original .:0.1437:original ).:0.1108:noise Ġit:0.0499:original",76,13,13,True,"Hello there, Could you help me reactivate my card? It was previously lost, but I found it this morning in my jacket. (I have attempted this multiple times).","Could you help me reactivate my card? It was previously lost, but I found it this morning in my jacket."
20,14,6,0.9951057678186999,0.004889825055101937,4.346756668383023e-06,0.07107898341562142,0.0008149708425169896,0.8,"?:0.8609:original Ġthem:0.1232:original ,:0.0077:original ?:0.0048:noise Ġlink:0.0025:original",77,13,13,True,"I already have one of your cards, how do I link them? what are the next steps?","I already have one of your cards, how do I link them?"
13,8,5,0.9967244595028433,0.0032172730861930177,5.8215780882164836e-05,0.12459055743785541,0.0006434546172386036,0.6,?:0.8292:original Ġcard:0.1573:original Ġreplacement:0.0100:original .:0.0029:noise Ġthank:0.0003:noise,78,13,13,True,How do I link my replacement card? thank you in advance.,How do I link my replacement card?
18,9,9,0.9678873055035524,0.03209890762627765,1.3730073987971991e-05,0.10754303394483916,0.003566545291808628,0.8,?:0.9457:original ?:0.0309:noise Ġaccount:0.0090:original Ġto:0.0083:original Ġcard:0.0045:original,79,13,39,True,Can I link another card to my account? is there a formal way to resolve this?,Can I link another card to my account?
13,8,5,0.9997865377440576,3.659775120468112e-05,0.00017698034935165197,0.1249733172180072,7.319550240936223e-06,0.6,".:0.8590:original Ġrates:0.1386:original Ġexchange:0.0022:original Ġadvise:0.0000:noise ,:0.0000:noise",80,32,32,True,"Could you please advise, I need to know your exchange rates.",I need to know your exchange rates.
14,7,7,0.9996499334774853,4.988255022908561e-05,0.0003003028978127986,0.14280713335392647,7.126078604155087e-06,1.0,?:0.7713:original Ġrates:0.1394:original Ġoffer:0.0578:original Ġdo:0.0248:original Ġyou:0.0041:original,81,32,32,True,"I’m hoping you can clarify, What exchange rates do you offer?",What exchange rates do you offer?
13,10,3,0.9999048867388751,1.5433258113262127e-05,7.968540012370795e-05,0.09999048867388752,5.144419371087376e-06,1.0,?:0.9269:original Ġrates:0.0722:original Ġexchange:0.0008:original Ġup:0.0000:original Ġwith:0.0000:original,82,32,32,True,"Hello there, How did you come up with your exchange rates?",How did you come up with your exchange rates?
12,9,3,0.9598695818779106,0.03990460414206609,0.00022576293849851936,0.10665217576421229,0.013301534714022031,0.6,?:0.7828:original Ġrate:0.1739:original .:0.0383:noise Ġexchange:0.0031:original Ġkind:0.0015:noise,83,32,32,True,Where do you guys acquire your exchange rate? kind regards.,Where do you guys acquire your exchange rate?
11,8,3,0.9171750913901633,0.08260434042313136,0.00022064040240366012,0.11464688642377041,0.027534780141043786,0.6,?:0.7796:original Ġrate:0.1332:original .:0.0810:noise Ġexchange:0.0043:original Ġplease:0.0014:noise,84,32,32,True,How do I find the exchange rate? please advise.,How do I find the exchange rate?
